2023-11-13 13:39:34,719 INFO    MainThread:5254 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-11-13 13:39:34,720 INFO    MainThread:5254 [wandb_setup.py:_flush():76] Configure stats pid to 5254
2023-11-13 13:39:34,720 INFO    MainThread:5254 [wandb_setup.py:_flush():76] Loading settings from /Users/lj20/.config/wandb/settings
2023-11-13 13:39:34,720 INFO    MainThread:5254 [wandb_setup.py:_flush():76] Loading settings from /Users/lj20/Finite groups/wandb/settings
2023-11-13 13:39:34,720 INFO    MainThread:5254 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-13 13:39:34,720 INFO    MainThread:5254 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-13 13:39:34,720 INFO    MainThread:5254 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Group addition/train.py', 'program_abspath': '/Users/lj20/Finite groups/Group addition/train.py', 'program': '/Users/lj20/Finite groups/Group addition/train.py'}
2023-11-13 13:39:34,720 INFO    MainThread:5254 [wandb_init.py:_log_setup():528] Logging user logs to /Users/lj20/Finite groups/wandb/run-20231113_133934-2e93pfq9/logs/debug.log
2023-11-13 13:39:34,720 INFO    MainThread:5254 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/lj20/Finite groups/wandb/run-20231113_133934-2e93pfq9/logs/debug-internal.log
2023-11-13 13:39:34,720 INFO    MainThread:5254 [wandb_init.py:init():568] calling init triggers
2023-11-13 13:39:34,720 INFO    MainThread:5254 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'Epochs': 100, 'Cardinality': 98, 'Embedded dimension': 16, 'Hidden dimension': 64}
2023-11-13 13:39:34,720 INFO    MainThread:5254 [wandb_init.py:init():618] starting backend
2023-11-13 13:39:34,720 INFO    MainThread:5254 [wandb_init.py:init():622] setting up manager
2023-11-13 13:39:34,722 INFO    MainThread:5254 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-11-13 13:39:34,734 INFO    MainThread:5254 [wandb_init.py:init():628] backend started and connected
2023-11-13 13:39:34,742 INFO    MainThread:5254 [wandb_init.py:init():720] updated telemetry
2023-11-13 13:39:34,778 INFO    MainThread:5254 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-11-13 13:39:35,191 INFO    MainThread:5254 [wandb_run.py:_on_init():2220] communicating current version
2023-11-13 13:39:35,346 INFO    MainThread:5254 [wandb_run.py:_on_init():2229] got version response upgrade_message: "wandb version 0.16.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-11-13 13:39:35,346 INFO    MainThread:5254 [wandb_init.py:init():804] starting run threads in backend
2023-11-13 13:39:35,419 INFO    MainThread:5254 [wandb_run.py:_console_start():2199] atexit reg
2023-11-13 13:39:35,419 INFO    MainThread:5254 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-11-13 13:39:35,419 INFO    MainThread:5254 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-11-13 13:39:35,420 INFO    MainThread:5254 [wandb_run.py:_redirect():2144] Redirects installed.
2023-11-13 13:39:35,420 INFO    MainThread:5254 [wandb_init.py:init():845] run started, returning control to user process
2023-11-13 13:39:41,081 INFO    MainThread:5254 [wandb_run.py:_finish():1934] finishing run louisyryj/Grokking ambiguous data/2e93pfq9
2023-11-13 13:39:41,081 INFO    MainThread:5254 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-11-13 13:39:41,081 INFO    MainThread:5254 [wandb_run.py:_restore():2151] restore
2023-11-13 13:39:41,081 INFO    MainThread:5254 [wandb_run.py:_restore():2157] restore done
2023-11-13 13:39:47,243 INFO    MainThread:5254 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-11-13 13:39:47,246 INFO    MainThread:5254 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-11-13 13:39:47,256 INFO    MainThread:5254 [wandb_run.py:_footer_sync_info():3558] logging synced files
